episode,reward,steps,td_error,epsilon,success,invalid_actions,wrapper_penalty,wrapper_bonus,blocked_actions,transformed_actions,risky_action_ratio,useful_actions_ratio
156,-1029.0,200,2.8159778506094,0.9249463838986807,0,54,343.0,0.0,5,5,0.295,0.975
157,-1029.0,200,2.6309368184271436,0.9244839107067314,0,54,343.0,0.0,9,9,0.325,0.955
158,-907.5,200,2.5413557883804168,0.9240216687513781,0,45,302.5,0.0,5,5,0.26,0.975
159,-975.0,200,2.2599350837671013,0.9235596579170025,0,50,325.0,0.0,7,7,0.285,0.965
160,-1123.5,200,2.748582414518583,0.923097878088044,0,61,374.5,0.0,9,9,0.35,0.955
161,-826.5,200,2.625274793915056,0.9226363291490001,0,39,275.5,0.0,6,6,0.27,0.97
162,-1002.0,200,3.8142618641524417,0.9221750109844257,0,52,334.0,0.0,9,9,0.33,0.955
163,-1083.0,200,3.0712144549834677,0.9217139234789336,0,58,361.0,0.0,10,10,0.34,0.95
164,-85.5,24,4.9158025485474655,0.9212530665171942,1,6,38.5,10.0,1,1,0.375,0.9583
165,-331.5,71,3.82494755910379,0.9207924399839357,1,19,120.5,10.0,1,1,0.3099,0.9859
166,-961.5,200,2.6742284901723123,0.9203320437639437,0,49,320.5,0.0,8,8,0.285,0.96
167,-1137.0,200,2.9345098166503725,0.9198718777420618,0,62,379.0,0.0,8,8,0.35,0.96
168,-934.5,200,3.034342400562795,0.9194119418031909,0,47,311.5,0.0,10,10,0.315,0.95
169,-988.5,200,2.56450170432048,0.9189522358322894,0,51,329.5,0.0,7,7,0.3,0.965
170,-988.5,200,2.8873239818719374,0.9184927597143733,0,51,329.5,0.0,14,14,0.325,0.93
171,-961.5,200,2.9786520488939146,0.9180335133345161,0,49,320.5,0.0,9,9,0.32,0.955
172,-907.5,200,2.7851518469143106,0.917574496577849,0,45,302.5,0.0,10,10,0.275,0.95
173,-1002.0,200,2.614466523743306,0.9171157093295601,0,52,334.0,0.0,10,10,0.31,0.95
174,-87.0,25,3.5489979398208025,0.9166571514748953,1,6,39.0,10.0,1,1,0.36,0.96
175,-1015.5,200,2.998403389841153,0.916198822899158,0,53,338.5,0.0,10,10,0.325,0.95
176,-934.5,200,2.138512235030052,0.9157407234877085,0,47,311.5,0.0,7,7,0.27,0.965
177,-1110.0,200,2.8007917313954054,0.9152828531259647,0,60,370.0,0.0,6,6,0.33,0.97
178,-1110.0,200,2.8724559553017106,0.9148252116994018,0,60,370.0,0.0,6,6,0.335,0.97
179,-1056.0,200,2.683768095914951,0.9143677990935521,0,56,352.0,0.0,10,10,0.33,0.95
180,-1015.5,200,2.6137926837158494,0.9139106151940054,0,53,338.5,0.0,9,9,0.31,0.955
