state_id,energy,oxygen,food,fuel,hull,event,energy_lvl,oxygen_lvl,food_lvl,fuel_lvl,hull_lvl,mhi,crisp_risk,status,greedy_action,greedy_qvalue,appropriate_action
101,critical/low,critical/low,optimal/high,optimal/high,stable/mid,Solar Storm,0,0,2,2,1,0.1145,2.6566,CRITICAL,Life Support,0.0,True
102,critical/low,critical/low,optimal/high,optimal/high,stable/mid,Asteroid Impact,0,0,2,2,1,0.1145,2.6566,CRITICAL,Life Support,0.0,True
103,critical/low,critical/low,optimal/high,optimal/high,stable/mid,Safe Zone,0,0,2,2,1,0.1145,2.6566,CRITICAL,Life Support,0.0,True
104,critical/low,critical/low,optimal/high,optimal/high,optimal/high,Normal,0,0,2,2,2,0.1145,2.6566,CRITICAL,Life Support,0.0,True
105,critical/low,critical/low,optimal/high,optimal/high,optimal/high,Solar Storm,0,0,2,2,2,0.1145,2.6566,CRITICAL,Life Support,0.0,True
106,critical/low,critical/low,optimal/high,optimal/high,optimal/high,Asteroid Impact,0,0,2,2,2,0.1145,2.6566,CRITICAL,Life Support,0.0,True
107,critical/low,critical/low,optimal/high,optimal/high,optimal/high,Safe Zone,0,0,2,2,2,0.1145,2.6566,CRITICAL,Life Support,0.0,True
108,critical/low,stable/mid,critical/low,critical/low,critical/low,Normal,0,1,0,0,0,0.2811,2.1566,WARNING,Life Support,0.0,True
109,critical/low,stable/mid,critical/low,critical/low,critical/low,Solar Storm,0,1,0,0,0,0.2811,2.1566,WARNING,Life Support,0.0,True
110,critical/low,stable/mid,critical/low,critical/low,critical/low,Asteroid Impact,0,1,0,0,0,0.2811,2.1566,WARNING,Life Support,0.0,True
111,critical/low,stable/mid,critical/low,critical/low,critical/low,Safe Zone,0,1,0,0,0,0.2811,2.1566,WARNING,Life Support,0.0,True
112,critical/low,stable/mid,critical/low,critical/low,stable/mid,Normal,0,1,0,0,1,0.2811,2.1566,WARNING,Life Support,0.0,True
113,critical/low,stable/mid,critical/low,critical/low,stable/mid,Solar Storm,0,1,0,0,1,0.2811,2.1566,WARNING,Life Support,0.0,True
114,critical/low,stable/mid,critical/low,critical/low,stable/mid,Asteroid Impact,0,1,0,0,1,0.2811,2.1566,WARNING,Life Support,0.0,True
115,critical/low,stable/mid,critical/low,critical/low,stable/mid,Safe Zone,0,1,0,0,1,0.2811,2.1566,WARNING,Life Support,0.0,True
116,critical/low,stable/mid,critical/low,critical/low,optimal/high,Normal,0,1,0,0,2,0.2811,2.1566,WARNING,Life Support,0.0,True
117,critical/low,stable/mid,critical/low,critical/low,optimal/high,Solar Storm,0,1,0,0,2,0.2811,2.1566,WARNING,Life Support,0.0,True
118,critical/low,stable/mid,critical/low,critical/low,optimal/high,Asteroid Impact,0,1,0,0,2,0.2811,2.1566,WARNING,Life Support,0.0,True
119,critical/low,stable/mid,critical/low,critical/low,optimal/high,Safe Zone,0,1,0,0,2,0.2811,2.1566,WARNING,Life Support,0.0,True
120,critical/low,stable/mid,critical/low,stable/mid,critical/low,Normal,0,1,0,1,0,0.2811,2.1566,WARNING,Life Support,0.0,True
121,critical/low,stable/mid,critical/low,stable/mid,critical/low,Solar Storm,0,1,0,1,0,0.2811,2.1566,WARNING,Life Support,0.0,True
122,critical/low,stable/mid,critical/low,stable/mid,critical/low,Asteroid Impact,0,1,0,1,0,0.2811,2.1566,WARNING,Life Support,0.0,True
